nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
MARCOS ROGERIO DA SILVA BRITO,RO,PDT,60780,395886.65,20,333,0,52287.5,28490,65e3,36,MASCULINO,SUPERIOR COMPLETO,0,0.07196504352950522,0.13207694677251683,0.16418841100097717,1127154,0.05392342128937128
DANIEL GOMES DE ALMEIDA,BA,PC do B,135382,1402311.44,72,872,100500,1101237,72640,9e4,59,MASCULINO,SUPERIOR INCOMPLETO,0.07166738937821117,0.0518001906908782,0.785301302255653,0.06417975168198015,10185417,0.013291748388897578
LUIS EVERARDO DE QUEIROZ FERNANDES,CE,PSTU,344,890.36,1,6,0,890.36,0,0,45,MASCULINO,SUPERIOR COMPLETO,0,0,1,0,6271554,5.4850839201894775e-5
FERNANDO ANTÔNIO MACEDO HOLANDA,AL,PMDB,14553,217896.27,6,73,0,2e5,6e3,7460,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,0,0.027536038134108494,0.9178679378036164,0.034236474080074894,1995727,0.007292079527911383
JOÃO LOCO BATISTA DE SIQUEIRA,SP,PEN,1652,9260,5,22,0,0,8970,0,63,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,0,0.968682505399568,0,0,31998432,5.16275297489577e-5
JOSÉ RIBAMAR COSTA,AC,PP,2354,44979.9,7,29,2e3,0,8e3,12e3,62,MASCULINO,SUPERIOR COMPLETO,0.04446430516741923,0.1778572206696769,0,0.26678583100451536,506724,0.004645526953528943
CARLOS ROBERTO PEREIRA,RJ,PEN,9993,39519.17,12,77,0,0,33956.67,1100,61,MASCULINO,SUPERIOR COMPLETO,0,0.8592455256524871,0,0.027834592679957602,12141145,8.230689939046111e-4
EUNICE DO CARMO SALLES BINA,PR,PSC,459,1750,3,4,0,0,600,0,49,FEMININO,SUPERIOR COMPLETO,0,0.34285714285714286,0,0,7865950,5.835277366370241e-5
OSVALDO BUSKEI,PR,PTB,707,1756.64,1,3,0,0,0,0,69,MASCULINO,ENSINO MÉDIO COMPLETO,0,0,0,0,7865950,8.988106967372027e-5
FÁBIO FERNANDES DE SOUSA,GO,PSDB,82204,1404085.75,221,1032,420907,0,447236,41500,32,MASCULINO,SUPERIOR COMPLETO,0.2997730017557688,0.31852470548896317,0,0.029556599374361572,4331733,0.018977162258153955
